Cluster Name,Frequency,Questions Count,Questions
Troubleshooting login issues,2,2,"The username and password do not work
My username and password are not working"
Accounts payable email address request,2,2,"What is the email for accounts payable i am a vendor needing to submit an invoice
In need an email for accounts payable"
Internship opportunities and availability,2,2,"Are internships offered
Internship opportunities"
Verifying a degree,2,2,"Please send me the link to verify my degree from 1981
Need information to verify my 1981 degree"
Preparing for orientation,2,2,"Will i need my laptop for orientation
What should i bring to orientation"
Lack of response to emails,2,2,"Why nobody answer my mail
Nobody answer my mail"
Finding and accessing WiFi login information,2,2,"What is my login to the wifi
What is my login for the wifi"
End date of the spring semester,2,2,"When are the students finishing their semester exams this year
When does the spring semester end"
Help desk support,2,2,"Help desk manager
Help desk"
Deadline for international students,2,2,"International students deadline
Deadlines for international"
Paying off student loans,2,2,"I need to make a loan payment
How do i make the interest payments on the student loan"
Acceptance of international students,2,2,"Do you take international students
Do you accept international student"
Move-In Day Parking Pass Information,2,2,"Where do i get parking passes for move in day
Parking pass for move in day"
Social work as a major,2,2,"Do you guys have a social major
Do you have a social work major"
Credit hours in graduate courses,2,2,"How many credits is one graduate class
How many credits are earned by taking one graduate class"
Deferring admission,2,2,"How can i defer my admission
How can i defer my admiossion"
Pharmacy technician program availability,2,2,"Do you have a pharmacy technician program
Do this university have a pharmacy course"
Availability of men's volleyball team at a specific institution,2,2,"I wondering if you guys have a boys volley ball team
Do they have a mens volleyball team"
Not being an alumni,2,2,"But im not alumni
What if i am not a recent alumni"
Contacting the IT help desk via email,2,2,"Can i email the it service desk
It help desk email address"
Transferring to another university or college,2,2,"How do i transfer to a different college
What if i want to transfer to another school"
Contacting international admissions,2,2,"Phone number for international admissions
International admissions phone number"
On-campus job opportunities,2,2,"Different types of on campus jobs for students
On campus job opportunities"
Visiting student deadlines,2,2,"When is deadline to apply as a visiting student in the summer
What is the summer deadline for visiting students"
Finding history classes for upcoming semesters,2,2,"What are the undergraduate history courses offered for the spring 2024
Courses offered in undergraduate history for the spring 2024"
Adding classes to a schedule,2,2,"I want to make my class schedule for the fall 2023 semester but some of the classes that i need are not allowing me to add them to my schedule
I need to add a class to my schedules how do i do that"
Visitor parking on campus,2,2,"Can a guest park on campus
Can visitors park on campus"
Admissions for January 2022,2,2,"May 19 2024 undergraduate
May 19 2024 on sunday for undergraduate"
School division and sports division,2,2,"What division for athletics is the school
What division is the school in sport"
Sophomore year in high school,2,2,"Sophomore
Sophmore"
International students seeking education in the United States,2,2,"I was a student i want to come and complete my degree
I live in ethiopia and i wanted to register with you"
Applying for Fall 2022,2,2,"How can i apply for fall of 2025
How can i apply for the program in fall 2025"
Toilet Paper Requirements for Dorms,2,2,"Do us students need to bring toilet paper for the dorms
Do i need to pack toilet paper"
Uploading immunization records,2,2,"Where should i upload my immunization papers
Where do i go to upload my immunization"
Visiting student/scholar,2,2,"Visiting student
Foreing student"
Account login issues,2,2,"I am logged out of my signon
I am logged out"
College admissions requirements and process,2,2,"How can i get into this college
To get into the college"
Changing an expired password,2,2,"How do i change my expired password
How to change my password when it is expired"
Acceptance of international students,2,2,"Are there tunisian students
Do you accept moroccan students"
Pass/Fail Course Registration Process,2,2,"How to sign up for passfail option
How to sign up for pass fail for classes"
Final grading and grades,2,2,"Final grade
Final grades"
Waiving health insurance,2,2,"How can i wave my health insurance
How to wave health insurance"
GRE score requirements and minimum scores,2,2,"What is the specific minimum gre score
Waht the score of gre"
Degrees and programs in tourism and hospitality management,2,2,"Tourism degree
Are there tourism degrees"
Changing my major,2,2,"Who do contact to switch my major
Who do i need to speak to in order to change my major"
Late payment and missed payment consequences,2,2,"What if i cant pay the ebill right now
What happens if i fail to pay the ebill by the deadline"
Availability of gym and fitness facilities on campus,2,2,"I wanted some information about the in campus gym
Where is the gym on the queens campus"
Interest in attending a specific school or university,2,2,"I want to joun to your university
I want to work for the university"
Contacting a counseling service,2,2,"Number of the counseling center
What is the phone number for the center for counseling and consultation"
Accessing the portal or obtaining the portal link,2,2,"My portal website link
Portal link"
Summer classes for visiting students,2,2,"Do you offer summer courses for visiting students
Do you offer summer classes to visiting students"
SEVIS school code and payment,2,2,"What is sevis code number of the school
Can you please tell me the sevis code of the university"
Getting admission to a university,2,2,"I want to get accepted please
I want admissiom you university"
Retaking or repeating a course,2,2,"Are u able to repeat a course
Can i repeat a course twice"
Availability of dorms for the spring semester,2,2,"Can i dorm during the spring semester
Can i dorm for the spring semester"
Application deadlines for pharmaceutical science programs,2,2,"Could you please tell me the application deadline of phd in pharmaceutical sciences department which session should i apply as a international student
When is the deadline of pharmaceutical sciences phd program application"
Available clubs and organizations,2,2,"Do you have clubs that i can join
What are some fun clubs you have"
Inquiring about graduate assistantships,2,2,"What about academic graduate assistantship positions
Do you have graduate resident assistants"
Cost of MS in Cybersecurity program,2,2,"What is the cost of the cyber and information security master of science ms
Tuition for cybersecurity program"
Graduation date for 2023,2,2,"Pharmacy graduation date for 2024
2023 2024 graduation this year is different"
University dormitory availability and information,2,2,"Where are your students dorms located
Is dorming still available"
Bachelor's Programs in Library and Information Science,2,2,"Bachelors of library science
Bachelors of library and information science"
Determining eligibility for work study,2,2,"How do i find out if i qualify for work study
How do i find out of im eligible for work study"
Bachelor's degree in theology,2,2,"Do you have a masters degree in theology
Do you only have a masters degree in theology"
Accessing student email,2,2,"How to login to student email
How do i log in to my student email"
Submitting and uploading vaccination records,2,2,"Submit vaccinations
Upload vaccinations"
LLM program and information,2,2,"Hello i want to get some info for llm
Hi i want to know more about the llm programs"
Cost and details of double dorm rooms,2,2,"What are prices for double dorm rooms and single dorm rooms
How much is a double dorm per semester"
Declining an admissions offer,2,2,"How can i decline admissions offer
How to decline admissions offer"
Contacting the bursar office via email,2,2,"Bursar name and email
I would like an email address to the bursars"
Refundability of a deposit,2,2,"It the deposit refundable
Is the deposit refunded on the spot"
Roommates,2,2,"Roomate
New roomate"
Library science education and programs,2,2,"Library sciences
Library science"
Application login link,2,2,"I need the link to login and complete application
I need the link to login to complete application"
Foreign transcript evaluation,2,2,"Foreign transcript
Foreign transcript evaluation link"
Finding and obtaining work study jobs,2,2,"Where can i find work study jobs available
How do i see my options for work study"
Accessing and obtaining unofficial transcripts,2,2,"What is my user login for unofficial transcript
Where do i log in to see my unofficial transcript"
Alumni password recovery and login issues,2,2,"Alumni forgot password
Hi i am a student alumni attended sju 20122016 and i have forgotten both my emailusername and password"
Deferring or deferral,2,2,"Defer
Deferral"
SAT score requirements for college admission,2,2,"Total sat score for acceptance
Can i apply with a 960 sat score"
Basketball team tryouts and joining the basketball team,2,2,"I can join the mens basketball team
Basketball tryouts"
Student life and campus life,2,2,"Whats student life like in your uni
What is a student life like in college"
Number of refrigerators allowed per room,2,2,"How many mini fridges can you have in one room
Can you have more than one mini fridge in a room"
Interest in studying history,2,2,"I like history
Do you like history"
Cisco Webex and its various features and applications,2,2,"Webex for ce
Cisco webex"
Graduate school acceptance rates,2,2,"Graduate acceptance rate
Acceptance rate for graduate school"
Making payments as a parent,2,2,"Im a parent and want to make a payment
How can i pay as a parent"
Academic Integrity,2,2,"What is the colleges academic integrity
What is the colleges academic integrity bullet points"
Contacting tech support via email,2,2,"Email for information tech
Tech email"
Changing authentication phone number,2,2,"How do i renew my phone number for the sms authentification step to sign in
How do i change the number set up for the sms authentication step"
Scheduling,2,2,"How do i prepare my schedule
How to schedule"
Theology Faculty Members,2,2,"Who are the faculty in theology
Who is the professor of theology"
Orientation schedule and timing,2,2,"What time is orientation
What time is the orientation"
Donovan Hall and its information,2,2,"Donovan hall
Donovan hall guidlines"
Next steps after paying a deposit,2,2,"What is the next step after making deposit
Where do you go after you pay for housing deposit"
Filling out an emergency contact information form,2,2,"How to submit emergency contact
Where do i go to fill out my emergency contact"
Account activation,2,2,"Activate account
Connect account"
Obtaining a copy of a diploma,2,2,"How can a copy of transcripts for someone that graduated in 1972 we need proof of a degree for employment
I need a diplucate of my diploma i graduated in 2005"
Changing email password,2,2,"How to change email password
How do i change my password for my email"
English as a Second Language (ESL) programs and services,2,2,"English second language
English as a second language"
"Finding and accessing the ""Big Interview"" platform or video",2,2,"How can i find big interview
Where is big interview"
Contacting Housing for Move-In Information,2,2,"Who do i contact for information on moving in
Phone number for move in questions"
Finding required books for classes,2,2,"How do i find what books are required for each class
Where do i find the books needed for class"
Fixing a locked UIS account,2,2,"I was locked out of my uis account how can i fix that
I was locked out of my uis account how to i unlock my uis account"
Contacting someone for schedule changes,2,2,"Who do i contact for schedule changes
Who do i ask if i want to change my schedule"
Registration deadline for summer classes,2,2,"What is the deadline to register for summer classes
Is it too late to sign up for summer classes"
Graduate program admissions,2,2,"Admission into graduate program
Graduate admission programs"
Summer schedule and summer school schedule,2,2,"Summer schedule
Firsy year schedule"
Checking the status of an undergraduate application,2,2,"Status of my application for undergraduate admissions
Check status of undergrad application"
Consequences of failing a class,2,2,"What happpens if i fail a class
If i fail my class what happens"
Flu Shot Clinics,2,2,"Flu shot clinic
Flu shot clinic 20242025"
CSS Profile for financial aid,2,2,"Financial aid css profile
Css profile financial aid"
Emailing transcripts for admissions,2,2,"What email do i send transcripts for mba admission
I need the email address for the admissions office to send a transcript"
Spring 2022 admission deadlines,2,2,"When is the deadline for spring 2025 semester for graduate school
Admission deadline for spring 2025"
Trouble resetting password and issues with security question,2,2,"Im trying to unlock the account but i forgot the security question
When it asks me for the security question i put in the right answer and it will not work to reset my password"
Summer 2022 classes and courses,2,2,"Summer classes 2024
Where can i find which classes will be held in summer 2024"
Veterinary majors and programs,2,2,"What majors do you have for veterinarians
What kind of majors do you have for vets"
Activating a school or university email account,2,2,"How do i my school activate email
How can i activate my school email"
Issues with signing in to an account,2,2,"Cant sing in
No its not letting me sign in"
Internal transfers and seeking assistance,2,2,"Who can i call about internal transfer
Who can i call for internal transfer"
Acceptance of FAFSA,2,2,"Is only fafsa accepted
Does this school have a fafsa code"
Registration assistance,2,2,"I need help with my registration
Registration help"
Finding a program,2,2,"Where i find this program
Program question"
Changing name on official records,2,2,"How to change my name on the records
I want to change my current name on my student record"
Resume assistance,2,2,"Where could i go for help with my resume
Resume help"
Fall break,2,2,"What days are we off on october
When is fall break"
Login information and account access,2,2,"What is the login info
Log in information"
Tuition fees for Masters in Computer Science,2,2,"Whas the tuition fee of ms in computer science
How much is the tuition for the masters in cs"
Questions about loans and loan information,2,2,"Loan infromation
Where can i find info about loans"
Connecting to a network or server,2,2,"Where in connect
Where do i go on connect"
Target audience of the feature or site,2,2,"Is this for every student
Is that only for students"
Obtaining transcripts for high school dual credit courses,2,2,"How do i get my college credits from high school transcips from the college
How do i receive my transcript from a high school course that offered credit through this university"
Physician Assistant Program availability,2,2,"Do you have a physicians assistant program
Do you have a physician assistant program"
Finding and accessing a directory,2,2,"I need your directory
Guide me to the directory"
Making a deposit for a dorm room,2,2,"How do i put my deposit down for picking dorm
How do i make my deposit for my dorm and accepting"
Contacting someone about transcripts,2,2,"Who can i speak to about my transcript
Who can i call to help me submit my final high school transcript"
Applying for the ROTC program,2,2,"I want to sign up for rotc
How do i apply to rotc"
Forgot username and password for university accounts,2,2,"I forgot my password for the sju sign on
I do not remember my password for sju login when i did a reset for password the security question i do not remember the correct answer what to do"
Contacting the university events office,2,2,"University events contact
Contact information for university events"
International business,2,2,"International business
And international business"
Application process for international students,2,2,"Im a student from algeria i want to try and apply to this amazing university is it possible
Im from europe can i apply"
Issues with receiving email confirmation for deposit payment,2,2,"When do i get my email after submitting my deposit
I havent gotten the email but gave the deposit"
No specific topic label can be assigned as there are no questions or specific topic mentioned.,2,2,"I have no questions
I dont have any questions again please"
Cost of education,2,2,"How much does education cost
Where can i find the cost of education"
Winter registration deadline,2,2,"When is the deadline for register for winter
When is the deadline to register for winter"
Understanding registration time tickets,2,2,"What is a registration time ticket
What is a time ticket under the registration notices"
Changing majors,2,2,"When can i switch majors
Is there a time periodto switch majors"
Website publisher,2,2,"Who published this site
Who published this website"
University/college mailing address,2,2,"What is the mail address for the university
What is the universitys mailing address"
Finding and contacting a freshman advisor,2,2,"How do i know who my freshman and faculty advisors are
How do i find my freshmen center advisor"
Contacting a helpline or customer support,2,2,"Give me a phone number for help
What phone number can i call to help me"
On-campus jobs for students,2,2,"Campus jobs for regular students
Graduate student jobs on campus"
Human resources department hours,2,2,"What the work hour of hr
What time does human resources close"
Eligibility and application for reentry scholarships,2,2,"Can i apply right now
So anyone that applies here can get a chance"
Requesting transcripts from the College Advantage program,2,2,"How would i go about requesting a transcript from the college advantage program
How do i request a transcript from college advantage program"
Accessing and viewing schedules,2,2,"I cannot see my schedule
I cant see me schedule anymore"
Fall open house events at a school or institution,2,2,"Fall open house
New fall open house"
Online master's programs,2,2,"I want online masters programs
I would like to know about online master degree program if it exist"
Finding and obtaining student health forms,2,2,"Medical form for accepted students
Student health form"
First-year orientation programs,2,2,"First year single day orientation
The orientation for the first year"
Transfer process for community college students,2,2,"Im transfer student from nassau community college in my 4th year already
Im transfer student from nassau community college i am in my 4th year"
Editing or changing a submitted application,2,2,"Can i change the room after i submit the application
Can i change my program of study after sending an application"
Finding the URL or website for a bookstore,2,2,"Can you give me the link to the bookstore
Could you direct me to the bookstore link"
Applying for a loan,2,2,"How do i apply for a loan
Where can i apply for student loans"
Greek sororities and information,2,2,"What office will i find information about sororities and fraternities
Where can i learn about these sororities"
Accessing email after graduation,2,2,"Request email after graduate
I just graduated this summer and cant access my email"
Transferring to another location or department,2,2,"Who should i concact for more transfer information
How can i speak to someone about transfer information"
Conference centers and event venues,2,2,"Professional conference center at escnj
Professional conference conference at escnj"
Adding authorized users to an account,2,2,"Add authorized user to accout
How do i add an authorized useer"
College Advantage Program Application,2,2,"Application for college advantage program
Apply for college advantage program"
Yellow Ribbon Program,2,2,"How does yellow ribbon program work
Tell me more about the yellow ribbon program"
Weather conditions,2,2,"What is the weather like there
Whats the weather like"
Obtaining a free MetroCard,2,2,"Where can i get metrocards
Where can i get a metrocard"
University application process,2,2,"I want to study in your reputed university
I want to apply to the rome campus"
Interest in studying nursing,2,2,"But i want to be a nursing major
How about nursing"
Availability of men's volleyball at a specific school or campus,2,2,"I was wondering if your school has mens volleyball
Is there a boys volleyball team in the college"
Major requirements,2,2,"The major area requirements
Major requirements"
Getting involved with campus organizations and clubs,2,2,"What organizations does the school have
What organizations are there"
Tuition costs for part-time students,2,2,"Tuition costs for parttime students
How much is a part time student tuition"
Study abroad programs and information,2,2,"What study abroad
Where can i find information about studying abroad"
Payment assistance,2,2,"I need help with payment
I need help making a payment"
Requesting and availability of single rooms,2,2,"Can i request a single room
Are there single occupancy rooms"
New student move-in dates and times,2,2,"First year student move in date
Move in date for new student"
Issues with security questions and answers,2,2,"My security question answer is wrong
My security answer is not matching up"
Living on campus,2,2,"Can i live on campus
Can i still live on campus even if i didnt choose that in my application"
Canceling housing application or cancellation of housing,2,2,"Cancel housing
Cancel housing before moving in"
Alumni access to gym facilities,2,2,"Can alumni use the tennis facility
Can alumni use the tennis courts"
Trouble logging into Canvas account,2,2,"My canvas account isnt signing in
It says that canvas is unable to log me into my account"
Timing of direct deposit refunds,2,2,"When will the money from refund direct deposit go into my account
Am i receiving my refund direct deposit today"
Availability of criminology program or degree,2,2,"Hi johnny do you guys offer criminology
Do you offer a minie in criminal justice or criminology"
Finding and accessing a financial aid package,2,2,"Where can i find my finacial aid package
How do i check my finiancial aid package"
Trouble with online registration,2,2,"Not able to register
Unable to register"
Availability of CNA classes or courses,2,2,"Hi do they offer the cna course there
Do u have a cna course"
Resume assistance and support from the career center,2,2,"Career center for help with resume
Is there a career center that is helpful to look for jobs"
Best residence hall/dormitory options,2,2,"Which residence hall is the best
What is the best residence hall"
Sending a 1098T form,2,2,"Where do i send it
Where do i send them"
Accessing the H drive,2,2,"Find my h drive
Access my h drive"
Library databases,2,2,"Database library
Library data bases"
Housing email contact,2,2,"Who do i email if i am a freshman with housing related questions
Looking for the email for the residential housing"
Accessing email as an alumni,2,2,"I graduated 4 years ago do i still have access to my email
As an alumni do i still have access to my email at sju"
Undergraduate student enrollment,2,2,"How many students are enrolled undergraduate
Total numbers of undergraduates"
Renewing a parking permit,2,2,"Renew parking placard
Renew parking pass"
Housing office hours,2,2,"What is the office hours for the housing department
What are the hours of the housing office"
Microwave regulations and restrictions in dorm rooms,2,2,"Can you have microwaves in the dorms
Are microwaves allowed in dorms"
Contacting someone about student housing,2,2,"What email should i contact for information about student accomodation
What email should i contact for information about student residence"
Trouble logging in,2,2,"I cant log in help
Help i cant log in"
Class schedules and session times,2,2,"Why are some of my classes at the same time
When would night classes start"
Applying for a deferral,2,2,"How do i request a deferral
How to request deferral"
Seeking guidance on where to go or what to do next,2,2,"Where can i do that
And then where do i go"
Accessing and viewing a payment plan,2,2,"Hello how can i get to the payment plans
Where can i find the payment plan"
Viewing and sharing photos,2,2,"Send me a photo of you
Send some pics"
Location: Ghana,2,2,"I am sefah from ghana
I am in ghana right now"
Visiting student fees,2,2,"Hi im looking for the fees for visiting graduate students
Hi im looking for the tuition fees for visiting graduate students"
Fall 2021 class schedule,2,2,"Schedule of classes fall 2024
School calendar fall 2024"
Contacting the athletics department,2,2,"What is the athletics department contact number
Athletics phone number"
Self-service options and applications,2,2,"Self service form
Self service"
Graduation requirements,2,2,"In order to graduate you must pass all your classes
Graduation requirements"
COVID-19 protocols,2,2,"What is the protocol for covid
Covid protocol"
Availability of an interior design major,2,2,"Hi i was wondering if you guys offered a interior design major
Do you offer an interior design major"
Requirements for studying and practicing pharmacy,2,2,"Is there specific requirements for the pharmacy program
Pharmacy coursework requirement"
Paying for college or school expenses,2,2,"I want to pay my bill for college adavamtage
How can i cover the cost of education"
Applying for a master's degree,2,2,"Ill love to apply for my masters
Where to apply for masters"
Contacting someone about an application,2,2,"I want to talk to your apply agent
I am not able to submit my application who do i contact"
Confirming a scheduled tour,2,2,"I was offered but have not accepted i would like to get info about touring the queens campus
How to i get a tour confirmation"
Canceling a tour,2,2,"I need to cancel an upcoming tour
Where do i cancel my tour"
Account lockout and unlocking,2,2,"I cant pay the deposit if my account is locked
I need to make my deposit but i am locked out of my account"
Location of the AI assistant,2,2,"What state
What state are you in"
Parent PLUS loans,2,2,"Parent plus loan
Parent plus loans"
Orientation end times,2,2,"What time does orientation end
Until what time is orientation"
Leaving a university or school,2,2,"Leaving the college
How i do leave the school"
Apparel and clothing choices,2,2,"What is the attire
Apparel"
Obtaining electronic transcripts,2,2,"Electronic transcript
Etranscript"
MBA program deadlines,2,2,"What is the deadline for mba online program
When is the deadline for the online mba program"
Masters in Cybersecurity,2,2,"Masters cyber security for international student
Msc cybersecurity"
GPA requirements for scholarships,2,2,"What gpa requirements for scholarship
Gpa for scholarship"
Status of high school transcript submission,2,2,"How to see if my final high school transcript went through
How do you check if your high school transcript has been sent"
On-campus housing,2,2,"Not living on campus
Living facilities on campus"
Sports journalism and degree programs,2,2,"Do you have a major for sports journalism
Do you offer a course for sports journalism at your university"
Account technical issues,2,2,"My account isnt working
My account is not working"
Sports management and communications roles,2,2,"Who is the athletic marketing director
What is the name of athletic marketing director"
GRE requirements for a specific purpose or institution,2,2,"Gre is optional
Is the gre required"
Food services and dining options,2,2,"Dining online
Food services"
Account lock and payment issues,2,2,"I need to pay my bill today but my account is locked help
I got locked out of paying for a class"
Verifying graduation status or obtaining graduation verification,2,2,"Verify a previous students graduation
Verify a student graduation"
Obtaining scholarships for college,2,2,"How do i get a scolership to this school
How do i get a scholarship"
Career services and resources,2,2,"Career service
Is it career services"
International relations,2,2,"Is there international relations
Do they have a degree in international relations"
Late fees and consequences for payment plan non-payment,2,2,"What if i cant pay my payment plan
Payment plan late fee"
Assistance with bill payment,2,2,"Help paying bill
Ayuda con un bill"
Checking dining dollars balance,2,2,"How to check dining dollars balance
Can i check my dining dollars balance"
Information Technology (IT) and IT job roles,2,2,"I need to gain access to information on it
Can you tell me about your information technology department"
Assignment of advisors for incoming freshmen,2,2,"When do freshmen get assigned their advisor
What day do freshmen get assigned their advisor"
Finding the URL for a writing center,2,2,"Can you send me the link of the writing center website
Can you send me the link to writing center"
New student orientation dates and schedule,2,2,"When is the new student orientation
When is my on campus orientation"
Enrollment and class attendance without full tuition payment,2,2,"Will i be able to attend class if i havent paid for the tuition yet
Can i pay tuition after classes begin"
Setting up email in Outlook,2,2,"Set up email on outlook
Set up outlook email"
Political Science major and career prospects,2,2,"Do you guys major in political justice
Do you guys offer political science major"
Understanding and obtaining time tickets for class registration,2,2,"How do i get a time ticket for first year class registration
How do i get a time ticket to register to classes"
Tuition and housing costs at a college,2,2,"What would living expenses be in the cost of tuition
Tuition for housing"
Overnight stay requirement for orientation,2,2,"Is there overnight orientation
Is the upcoming orientation an overnight stay"
Tuition fees per semester or year,2,2,"What is the cost of tuition per year and per semester
Do you pay for tuition every semester or yearly"
Columbus Day holiday and observance,2,2,"Is tomorrow is holiday for columbus day
But it is columbus day"
Scholarship Application Deadlines,2,2,"What is the deadline for the the college advantage program application
Hi when is the deadline for the college advantage program"
Programs for incoming freshmen,2,2,"What programs do you have for incoming freshman
What programsscholarship do you guys offer for freshman"
Saturday classes and class schedules,2,2,"Do you have classes on mondays tuesdays thursdays fridays and saturdays
Do you do classes on tuesdays and thursdays"
Missing orientation,2,2,"I missed my orientation
Late orientation"
Course requirements for nursing,2,2,"What math prerequisite is required for nursing
Course of study for nursing"
Deleting an application,2,2,"How do i delete an application form
How do i delete my application"
Accessing and finding the Canvas platform,2,2,"Get to mu canvas page
Looking for canvas"
LGBTQ+ friendliness of schools/campuses,2,2,"Is the campus queer friendly
Is it accepting to lgbtq students"
Availability of Japanese language courses,2,2,"Do you offer japanese language courses
Are there courses where they can learn japanese"
Applying for classes,2,2,"How to i apply for classes
Thank you but the link has not helped me i would like to receive the like which directly take to the site which i can apply for the course"
Missing housing application emails or notifications,2,2,"Hello i submitted my deposit 5 days ago but still did not get an email regarding the housing selection portal
I never received an email for my housing application"
Graduate application fees,2,2,"No the application fee for graduate studies
Is there an application fee for grad school"
GPA requirement for the Dean's List,2,2,"Gpa for deans list
Deans list minimum gpa"
Start date of classes for the spring 2022 semester,2,2,"The first day of spring classes of 2024
When do classes for spring 2024 start"
Offering assistance or asking for assistance,2,2,"Hello how can i assist you today
How can i help you"
Cost of the PharmD program,2,2,"What is that price in the pharm d program
Pharmd cost"
Finding URLs and information on specific topics,2,2,"Do you have a link for info
Where is the link to that information"
Holiday break schedule,2,2,"When are you closing for the christmas holiday
When is december break"
Fall application deadlines for graduate studies,2,2,"Graduate application deadline for fall semester
Is it too late to apply for a graduate program starting this fall"
Accessing personal information,2,2,"I need to find my personal information
Where is personal information"
Submitting medical forms for incoming freshmen,2,2,"Where can i find the medical form for incoming freshman fall 2024
What medical forms are required for freshman"
Toilet paper and supplies in campus housing,2,2,"Do i need to get my own toilet paper
Do i need toilet paper"
Issues with receiving login codes on phone,2,2,"It asks me the code which is sent to my phone number but i didnt receive any codes
I asked for a code and it did not send a code to my phone number"
Exploring and learning in various academic subjects,2,2,"Are students friendly
Studnet"
Refunds for housing deposits,2,2,"Can i get my housing deposit back
Can i get a refund for my housing deposit"
Obtaining electronic transcripts,2,2,"How do i get my electronic transcripts are also available which are digitally signed pdf documents that can be delivered electronically
I would like to know where i can get my transcript electronically"
Contacting the men's basketball coach,2,2,"How do i contact the basketball coach
Who is the basketball coach can i contact them"
Requesting and obtaining transcripts,2,2,"Hi how can i apply my full transcript
How can i transcript"
List of professors/faculty members,2,2,"List of math faculty
List of mathematics faculty"
Scholarship award dates,2,2,"When will i know if i received the scholarships i applied for
When will i know if i received any scholarship ship for the one scholarships i applied for"
Trouble with account verification,2,2,"Im having trouble verifying my account
So i cant verify my account"
Bachelor's degree in psychology at BCC,2,2,"Is psychology a major at st johns
Is there a psychology bachelor of arts program"
Logging in to Canvas,2,2,"Log in to canvas
Log me into canvas"
Submitting tax information for financial aid purposes,2,2,"What about when applying do i need to submit both parents taxes
So i need to submit both parents taxes when applying"
Commuting,2,2,"Commuter
Switching to commuting"
Printing Academic Documents on Campus,2,2,"Where can i go if i want to print my essay for class
Where on campus can i go to get my essay printed"
Century Hall and its location,2,2,"I need to know what century hall is named as
What is the new name for century hall"
Accessing OneDrive,2,2,"How to access my onedrive
How i access my one drive storage"
Committing to St. John's University,2,2,"How do make a deposit to st johns
How can i commit to st johns university"
Diversity and multiculturalism,2,2,"Is it diverse
Diversity"
Forgot UIS login information,2,2,"I forgot my id number to sign on to uis
I forgot my uis username and password"
Submitting fall and winter grades,2,2,"Submit fall semester grades
I am a high school teacher who needs to submit grades for the fall 2023 semester where do i start"
Changing class times,2,2,"Can i change my class time
How do i request a class time change"
Trouble logging into the application portal,2,2,"Im having trouble logging into my application portal
I can not log in into the application portal"
Accessing Canvas,2,2,"Access to canvas
Access canvas"
Spring 2022 application timeline,2,2,"Is spring 2025 open for application
Are spring 2025 application open"
Login password,2,2,"What is the password for sign on account
Password login"
Deadline for submitting high school marks and documents,2,2,"Deadline for high school academic programs
Spring 2024 deadline for high school academic programs"
Expressions of excitement or enthusiasm,2,2,"Yerrrr
Yerr"
Accessing and using Office 365 or Microsoft 365,2,2,"Access microsoft 265
Access microsoft 365"
Issues with not receiving emails,2,2,"What if i didnt get an email
If i didnt get email"
Obtaining and accessing a school email,2,2,"How do i get my school email
How do i obtain my school email"
Noise complaints,2,2,"Community noise complaint
Noise complaint"
Obtaining an overnight parking pass,2,2,"How do i get an overnight parking pass
How do i get a overnight parking pass for the semester"
Locating and finding a student ID number,2,2,"Look up my student id
Where to locate student id number"
Applying for dormitory housing,2,2,"How can a second year student apply for a single in the dorm
How do i apply for a single dorm"
Cost of online classes,2,2,"The cost for a course in financialeconomics on line
How much is in person tuition"
Accessing and recovering St. John's email and login information for alumni,2,2,"I am a new student but i cant login because i cant remember my stjohns email
Hello i am an alumni and forgot the link to the email portal for my st johns email account"
Obtaining and understanding an I-20 form,2,2,"How complete i20 form
I20"
Bill payment and billing,2,2,"Pay bull
Bill pay"
Continuing education options and resources,2,2,"Ceu
Continuing education"
Email problems or issues,2,2,"Email problems
Issues with email"
Credit requirements for a Master's in Education program,2,2,"How many credits are needed for a masters in education degree
How major credits are needed to obtain a masters in education"
PhD tuition fees,2,2,"What are the tuition costs for phd students
Phd tution"
Contacting the Legal Department,2,2,"How can i contact the law department
Contacting the law department"
Academic job search,2,2,"I am searching for an academic job
Where to find academic job"
Mailing address for tuition payments,2,2,"Where do i mail tuition payment
To mail tuition"
Undergraduate acceptance rate,2,2,"Show me the acceptance rate for undergrad
What is the acceptance rate for ungrad students"
Issues with accessing Okta,2,2,"Dont have access to okta
I do not have access to okta"
Determining if the agent is a live agent or an AI chatbot,2,2,"Are you a live agent
Are you chat gpt"
Locked or sealed documents,2,2,"Its locked
Its been days and its still locked"
Guest policies and regulations at UAlbany and UOP,2,2,"Guest
Guests"
Applying for undergraduate programs,2,2,"Can i apply for undergraduate program here
Can i apply for an undergraduate program here"
Being a third-year student,2,2,"I am entering my third year
I am a third year"
Contacting the finance office,2,2,"Call the student financial service
What is the phone number for the finance office"
Undergraduate applications,2,2,"Undergrad applications
Undergraduation application requirement"
Minimum Duolingo score requirement,2,2,"Minimal score for duolingo
How many scores required for duolingo"
Student orientation,2,2,"Student orientation
Are there students orientation"
Number of graduation tickets per person,2,2,"How many tickets can you get at graduation
How many tickets do you get per person at gradution"
Filing a complaint,2,2,"Where do i make a complaint
How to file a complaint regarding the library"
Contacting and accessing email at St. Joseph's University (SJU),2,2,"My sju emai
Whats my sju email"
Accepting federal loans,2,2,"How do i accept federal loans
How to accept federal loan"
Adding an authorized user,2,2,"How do i add an authorized user
Where do i go to add an authorized user"
Engineering majors,2,2,"Do you have an engineering major
Is there any majors in engineering"
Advantage Program Information and Payment,2,2,"For an advantage program
Make a payment for advantage program"
